"sourceRow","accountNumber","sourceX","sourceY","sourceCrs","sectionCode","installationYear","installationAngleDeg","elevationM","outletCount","flowLps","metadataJson"
"1109","1332","783196.419288","2458564.73566","UNKNOWN","12","2017","0","1906.41","3","10","{""feature_name"":""<UNNAMED FEATURE>"",""feature_type"":""Unknown Point Feature"",""layer"":""Cabezal de riego"",""feature_description"":""Cabezal de riego"",""feature_layer_name"":""Hidrantes_ddr001.shp"",""index_in_layer"":1107}"
"1005","1333","783707.141062","2458153.34429","UNKNOWN","12","2020","0","1918.6","3","10","{""feature_name"":""<UNNAMED FEATURE>"",""feature_type"":""Unknown Point Feature"",""layer"":""Cabezal de riego"",""feature_description"":""Cabezal de riego"",""feature_layer_name"":""Hidrantes_ddr001.shp"",""index_in_layer"":1003}"
"810","1334","780783.085869","2457669.54462","UNKNOWN","9","2022","0","1922.59","3","10","{""feature_name"":""<UNNAMED FEATURE>"",""feature_type"":""Unknown Point Feature"",""layer"":""Cabezal de riego"",""feature_description"":""Cabezal de riego"",""feature_layer_name"":""Hidrantes_ddr001.shp"",""index_in_layer"":808}"
"1108","1335","783355.012819","2458508.21483","UNKNOWN","12","2017","0","1906.41","3","10","{""feature_name"":""<UNNAMED FEATURE>"",""feature_type"":""Unknown Point Feature"",""layer"":""Cabezal de riego"",""feature_description"":""Cabezal de riego"",""feature_layer_name"":""Hidrantes_ddr001.shp"",""index_in_layer"":1106}"
"1107","1336","783435.777064","2458475.88138","UNKNOWN","12","2017","0","1906.36","3","10","{""feature_name"":""<UNNAMED FEATURE>"",""feature_type"":""Unknown Point Feature"",""layer"":""Cabezal de riego"",""feature_description"":""Cabezal de riego"",""feature_layer_name"":""Hidrantes_ddr001.shp"",""index_in_layer"":1105}"
"1006","1337","783712.497784","2457881.16382","UNKNOWN","12","2017","0","1917.54","3","10","{""feature_name"":""<UNNAMED FEATURE>"",""feature_type"":""Unknown Point Feature"",""layer"":""Cabezal de riego"",""feature_description"":""Cabezal de riego"",""feature_layer_name"":""Hidrantes_ddr001.shp"",""index_in_layer"":1004}"
"1106","1338","782998.741288","2458494.77271","UNKNOWN","12","2020","0","1906.3101","3","10","{""feature_name"":""<UNNAMED FEATURE>"",""feature_type"":""Unknown Point Feature"",""layer"":""Cabezal de riego"",""feature_description"":""Cabezal de riego"",""feature_layer_name"":""Hidrantes_ddr001.shp"",""index_in_layer"":1104}"
"1105","1339","782958.833296","2458294.02567","UNKNOWN","12","2020","0","1906.11","3","10","{""feature_name"":""<UNNAMED FEATURE>"",""feature_type"":""Unknown Point Feature"",""layer"":""Cabezal de riego"",""feature_description"":""Cabezal de riego"",""feature_layer_name"":""Hidrantes_ddr001.shp"",""index_in_layer"":1103}"
"1013","1340","783728.816767","2457295.12686","UNKNOWN","12","2020","0","1926.8199","3","10","{""feature_name"":""<UNNAMED FEATURE>"",""feature_type"":""Unknown Point Feature"",""layer"":""Cabezal de riego"",""feature_description"":""Cabezal de riego"",""feature_layer_name"":""Hidrantes_ddr001.shp"",""index_in_layer"":1011}"
"536","1341","780718.687031","2459294.36898","UNKNOWN","15","2014","0","1924.99","3","10","{""feature_name"":""<UNNAMED FEATURE>"",""feature_type"":""Unknown Point Feature"",""layer"":""Cabezal de riego"",""feature_description"":""Cabezal de riego"",""feature_layer_name"":""Hidrantes_ddr001.shp"",""index_in_layer"":534}"
"537","1342","780744.58344","2459007.60311","UNKNOWN","15","2010","0","1925.34","2","10","{""feature_name"":""<UNNAMED FEATURE>"",""feature_type"":""Unknown Point Feature"",""layer"":""Cabezal de riego"",""feature_description"":""Cabezal de riego"",""feature_layer_name"":""Hidrantes_ddr001.shp"",""index_in_layer"":535}"
"581","1343","781453.177995","2460207.08325","UNKNOWN","15","2017","0","1923.6801","3","10","{""feature_name"":""<UNNAMED FEATURE>"",""feature_type"":""Unknown Point Feature"",""layer"":""Cabezal de riego"",""feature_description"":""Cabezal de riego"",""feature_layer_name"":""Hidrantes_ddr001.shp"",""index_in_layer"":579}"
"544","1345","781338.066508","2458779.92342","UNKNOWN","15","2014","0","1933.76","3","10","{""feature_name"":""<UNNAMED FEATURE>"",""feature_type"":""Unknown Point Feature"",""layer"":""Cabezal de riego"",""feature_description"":""Cabezal de riego"",""feature_layer_name"":""Hidrantes_ddr001.shp"",""index_in_layer"":542}"
