"sourceRow","originalAccount","normalizedAccount","field","originalValue","normalizedValue","reasonCode","reasonDescription","suggestedAction","severity"
"1536","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1537","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1538","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1539","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1540","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1541","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1542","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1543","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1544","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1545","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1546","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1547","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1548","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1549","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1550","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1551","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
